"(40.596800942, -74.079098353)"
"(40.596878062, -73.745310634)"
"(40.596901361, -73.98550788)"
"(40.596943675, -74.082983879)"
"(40.596962656, -73.99898959)"
"(40.597021841, -73.983354522)"
"(40.597087414, -73.952678486)"
"(40.597113226, -73.990423058)"
"(40.597120566, -73.941249217)"
"(40.597120566, -73.941249217)"
"(40.597138287, -73.788336912)"
"(40.59713937, -73.952206731)"
"(40.597217933, -73.741405943)"
"(40.597230742, -73.971021381)"
"(40.597244284, -73.961108089)"
"(40.597269238, -73.98610195)"
"(40.597269238, -73.98610195)"
"(40.597295532, -73.759442652)"
"(40.597325748, -73.754264418)"
"(40.597348248, -73.748175176)"
"(40.597372601, -73.756936131)"
"(40.597385149, -74.090823614)"
"(40.597416493, -73.979638282)"
"(40.59745944, -73.938418599)"
"(40.59745944, -73.938418599)"
"(40.597473127, -74.003912034)"
"(40.597508416, -74.165020755)"
"(40.597511795, -74.135107902)"
"(40.597565742, -73.971557772)"
"(40.597673243, -73.761562244)"
"(40.597679293, -73.957132412)"
"(40.597696037, -73.749063296)"
"(40.597696037, -73.749063296)"
"(40.597740602, -73.935588009)"
"(40.597740602, -73.935588009)"
"(40.597787926, -73.783444771)"
"(40.597787926, -73.783444771)"
"(40.597797582, -73.794686884)"
"(40.597797582, -73.794686884)"
"(40.597797582, -73.794686884)"
